HCID,d13C,d18O,PP_ID,location,year,Catch.Date,length,Weight_g,Diet.mean,Diet.sd,DIC.mean,DIC.sd,Salinity.mean,Salinity.sd,Growth Ring,PredCresp,PredCresp.sd,FMR,FMR.sd,Temp,PredT.sd
S45,-3.173821896,-1.083758452,North Sea,Sandefjord,2003,Sep-25,87,5.56,-16.71,0.98,1.351990823,0.164324947,28.87366667,1.760430724,NA,0.231673786,0.013331313,345.9920162,108.3489396,15.99463478,2.241263968
S46,-0.296792532,-1.312839835,North Sea,Sandefjord,2003,Sep-25,110,11.45,-16.71,0.98,1.351990823,0.164324947,28.87366667,1.760430724,9,0.08450268,0.008832388,48.79867486,6.424082758,17.04209742,2.294343483
S47,-3.356927319,-1.511457805,North Sea,Sandefjord,2003,Sep-25,101,8.8,-16.71,0.98,1.351990823,0.164324947,28.87366667,1.760430724,4,0.241132526,0.013779399,389.3581379,124.2211208,17.97521833,2.288134007
S49,-4.221953259,-2.763947651,Fjord,Sandefjord,2008,Sep-25,119,14.59,-18.13,0.56,1.499858671,0.322551646,23.935,1.697727697,NA,0.270692354,0.013244982,500.7799957,129.4677343,17.5261315,2.215872533
S5,-1.500261708,-1.382106821,Fjord,Sandefjord,2000,10-Apr,82,4.63,-16.06,0.61,1.490409552,0.16577906,22.862,0.07391211,8,0.157156257,0.009019922,119.2640725,12.17692667,9.784949747,0.090864089
S50,-4.324012733,-2.814703009,Fjord,Sandefjord,2008,Sep-25,95,7.29,-18.13,0.56,1.499858671,0.322551646,23.935,1.697727697,7,0.275805474,0.013125378,490.7836385,149.0938585,17.77448099,2.21114235
S52,-4.202725922,-2.342727613,Fjord,Sandefjord,2008,Sep-25,126,17.39,-18.13,0.56,1.499858671,0.322551646,23.935,1.697727697,NA,0.269860201,0.013198321,495.855007,135.9349239,15.50043559,2.160508904
S53,-4.123278961,-2.832927351,North Sea,Sandefjord,2008,Sep-25,140,24.06,-16.61,0.85,1.499858671,0.322551646,23.935,1.697727697,8,0.286735345,0.017216138,501.0612387,144.8080393,17.85338755,2.196052772
S54,-4.911845345,-2.774006622,Fjord,Sandefjord,2008,Sep-25,122,15.75,-18.13,0.56,1.499858671,0.322551646,23.935,1.697727697,8,0.303575187,0.01337071,,NA,17.55503005,2.204175085
S55,-4.013249883,-2.145012253,Fjord,Sandefjord,2008,Sep-25,125,16.97,-18.13,0.56,1.499858671,0.322551646,23.935,1.697727697,8,0.260787409,0.013090732,480.2456182,133.9831207,14.61122225,2.155980806
S56,-2.776085345,-2.365076021,North Sea,Sandefjord,2008,Sep-25,148,28.55,-16.61,0.85,1.499858671,0.322551646,23.935,1.697727697,4,0.218152139,0.015992785,275.8412653,92.42689575,15.60743528,2.16710968
S57,-4.512582581,-2.376908716,Fjord,Sandefjord,2008,Sep-25,124,16.56,-18.13,0.56,1.499858671,0.322551646,23.935,1.697727697,14,0.284667871,0.013309129,547.6313747,145.9425249,15.72660177,2.16862194
S59,-2.611653261,-2.101303458,North Sea,Sandefjord,2008,Sep-25,95,7.29,-16.61,0.85,1.499858671,0.322551646,23.935,1.697727697,18,0.209604772,0.015832787,241.1305362,73.62064957,14.42313558,2.169089833
S60,-1.413377255,-1.005894497,North Sea,Sandefjord,2003,Sep-25,92,6.6,-16.71,0.98,1.351990823,0.164324947,28.87366667,1.760430724,9,0.141663998,0.010142905,100.0108013,11.44966374,15.57406035,2.233760849
S61,-2.399408237,-0.600547204,North Sea,Sandefjord,2003,Sep-25,87,5.56,-16.71,0.98,1.351990823,0.164324947,28.87366667,1.760430724,5,0.192237086,0.011771223,181.799851,29.28123127,13.71132304,2.238641997
S8,-1.325113286,-1.609782869,Fjord,Sandefjord,2000,10-Apr,76,3.67,-16.06,0.61,1.490409552,0.16577906,22.862,0.07391211,5,0.14789809,0.008773359,107.423463,10.58995835,10.80958126,0.091182738
